,Features,Coefficients,Intercept,Explained_Var,Mean_Absolute_Error
0,vertical_drop,0.7134038025691752,63.90749787636485,0.9099055055651349,5.005431098067094
1,trams,0.20379057130670883,63.90749787636485,0.9099055055651349,5.005431098067094
2,fastEight,-0.11887778235425296,63.90749787636485,0.9099055055651349,5.005431098067094
3,fastSixes,0.2915309843659218,63.90749787636485,0.9099055055651349,5.005431098067094
4,fastQuads,0.8981823721492643,63.90749787636485,0.9099055055651349,5.005431098067094
5,quad,1.4767653092864446,63.90749787636485,0.9099055055651349,5.005431098067094
6,triple,1.3666306696919837,63.90749787636485,0.9099055055651349,5.005431098067094
7,double,0.25025713726301196,63.90749787636485,0.9099055055651349,5.005431098067094
8,surface,-0.9533457057849095,63.90749787636485,0.9099055055651349,5.005431098067094
9,total_chairs,0.8492902014150718,63.90749787636485,0.9099055055651349,5.005431098067094
10,Runs,0.019824084642458106,63.90749787636485,0.9099055055651349,5.005431098067094
11,TerrainParks,0.0925958161551575,63.90749787636485,0.9099055055651349,5.005431098067094
12,LongestRun_mi,0.05174958604951325,63.90749787636485,0.9099055055651349,5.005431098067094
13,SkiableTerrain_ac,-2.17086431113955,63.90749787636485,0.9099055055651349,5.005431098067094
14,Snow Making_ac,-0.31046705549035974,63.90749787636485,0.9099055055651349,5.005431098067094
15,daysOpenLastYear,1.019666463720611,63.90749787636485,0.9099055055651349,5.005431098067094
16,yearsOpen,-0.11056618437474801,63.90749787636485,0.9099055055651349,5.005431098067094
17,averageSnowfall,-0.8829075118776445,63.90749787636485,0.9099055055651349,5.005431098067094
18,AdultWeekday,19.68404031470824,63.90749787636485,0.9099055055651349,5.005431098067094
19,projectedDaysOpen,-0.5402834653659581,63.90749787636485,0.9099055055651349,5.005431098067094
20,NightSkiing_ac,1.4450143540158442,63.90749787636485,0.9099055055651349,5.005431098067094
21,Clusters,-1.0390297700579134,63.90749787636485,0.9099055055651349,5.005431098067094
